ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
201342.4_PROBE1	3.75e-12	2.12e-16	16.5149285	27.30855	2.30283593	C3orf58	chromosome 3 open reading frame 58
NM_019083.1_PROBE1	2.52e-11	4.09e-15	14.7573528	24.424424	2.62713184	TRMT13	tRNA methyltransferase 13 homolog
978630.1_PROBE1	2.52e-11	4.65e-15	14.6841066	24.269017	2.58875198	CCDC71L	coiled-coil domain containing 71-like
137946.3_PROBE1	2.52e-11	5.70e-15	14.5695581	24.107078	2.93733033	MIB1	mindbomb E3 ubiquitin protein ligase 1
AL050192_PROBE1	3.50e-11	9.89e-15	14.262143	23.602479	2.3912744	ATF2	activating transcription factor 2
142344.1_PROBE1	4.46e-11	2.09e-14	13.8529883	22.886057	2.35907126	CPSF6	cleavage and polyadenylation specific factor 6
NM_022771.1_PROBE1	4.46e-11	2.42e-14	13.7729554	22.746873	1.54512437	TBC1D15	TBC1 domain family member 15
NM_003453.1_PROBE1	4.46e-11	2.43e-14	13.7714832	22.739028	2.1526838	ZMYM2	zinc finger MYM-type containing 2
NM_006407.2_PROBE1	4.46e-11	3.10e-14	13.6397589	22.494262	1.89112068	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5
AB002448_PROBE1	4.46e-11	3.22e-14	13.6199608	22.467904	1.75758818	PGGT1B	protein geranylgeranyltransferase type I subunit beta
334282.2_PROBE1	4.46e-11	3.04e-14	13.6501994	22.459419	2.26087908	BAG4	BCL2 associated athanogene 4
AB018319_PROBE1	4.46e-11	3.03e-14	13.6527298	22.43214	2.58042898	UFL1	UFM1 specific ligase 1
1139678.12_PROBE1	4.46e-11	3.42e-14	13.5875948	22.401504	2.69991771	HMGB1	high mobility group box 1
1501102.2_PROBE1	4.46e-11	3.53e-14	13.5703903	22.371263	2.65723518	FNDC3A	fibronectin type III domain containing 3A
283327.1_PROBE1	5.01e-11	4.47e-14	13.4446407	22.096954	2.84650455	RICTOR	RPTOR independent companion of MTOR complex 2
AL133577_PROBE1	5.01e-11	4.75e-14	13.4127392	22.085704	1.88101389	MBTD1	mbt domain containing 1
216331.1_PROBE1	5.01e-11	5.15e-14	13.3703277	22.004982	2.3711477	BROX	BRO1 domain and CAAX motif containing
NM_017980.1_PROBE1	5.01e-11	5.31e-14	-13.3544817	21.966823	-1.54223789	LIMS2	LIM zinc finger domain containing 2
AB011102_PROBE1	5.01e-11	5.39e-14	13.346438	21.894975	2.82890136	ZNF292	zinc finger protein 292
NM_016226.1_PROBE1	5.86e-11	6.67e-14	13.2342725	21.74833	2.13657209	VPS29	VPS29, retromer complex component
NM_002858.2_PROBE1	5.86e-11	7.08e-14	13.2028135	21.692338	1.57622489	ABCD3	ATP binding cassette subfamily D member 3
AF052100_PROBE1	5.86e-11	7.30e-14	13.1873086	21.668183	1.585852	VAMP4	vesicle associated membrane protein 4
251178.1_PROBE1	7.05e-11	9.68e-14	13.040104	21.387015	1.72896233	FAM199X	family with sequence similarity 199, X-linked
NM_018657.2_PROBE1	7.05e-11	9.40e-14	13.0552613	21.363939	1.90325847	MYNN	myoneurin
BG752423_PROBE1	7.05e-11	1.00e-13	13.0234334	21.353493	2.32103844		
NM_002211.1_PROBE1	7.05e-11	1.04e-13	13.0042702	21.316518	2.00261248	ITGB1	integrin subunit beta 1
AL049321_PROBE1	7.06e-11	1.12e-13	12.9635142	21.239125	2.8464555	PHIP	pleckstrin homology domain interacting protein
462535.3_PROBE1	7.06e-11	1.14e-13	12.9548577	21.218674	1.92488467	VTA1	vesicle trafficking 1
NM_000898.1_PROBE1	7.06e-11	1.16e-13	-12.9473691	21.188062	-1.99249625	MAOB	monoamine oxidase B
NM_002145.1_PROBE1	7.34e-11	1.26e-13	-12.9050857	21.134847	-1.59436612	HOXB2	homeobox B2
247114.2_PROBE1	7.34e-11	1.29e-13	12.8928657	21.083687	2.40547688	ARMT1	acidic residue methyltransferase 1
AL136732_PROBE1	7.93e-11	1.44e-13	12.8370039	20.993915	1.81291869	ZNF700	zinc finger protein 700
AL110180_PROBE1	8.08e-11	1.55e-13	12.7964944	20.878458	2.78069	ETNK1	ethanolamine kinase 1
NM_022484.1_PROBE1	8.08e-11	1.52e-13	12.8083459	20.8747	2.80067345	TMEM168	transmembrane protein 168
978672.3_PROBE1	1.11e-10	2.20e-13	12.6192227	20.569886	2.10189589		
1363504.9_PROBE1	1.12e-10	2.34e-13	12.5889368	20.517836	3.3462083	ARGLU1	arginine and glutamate rich 1
NM_001980.1_PROBE1	1.12e-10	2.29e-13	-12.5998122	20.478806	-2.37544083	STX2	syntaxin 2
1511771.1_PROBE1	1.13e-10	2.49e-13	-12.5567787	20.461887	-2.06354103	ADGRG1	adhesion G protein-coupled receptor G1
1383598.2_PROBE1	1.13e-10	2.49e-13	12.5565934	20.459374	3.16885162	FGL2	fibrinogen like 2
AI557212_PROBE1	1.22e-10	2.79e-13	12.500627	20.347107	2.43976832	SKIL	SKI-like proto-oncogene
253580.1_PROBE1	1.22e-10	2.83e-13	12.4932718	20.337461	2.30304257		
980171.4_PROBE1	1.23e-10	2.92e-13	12.4762115	20.305925	1.8139054	COQ10B	coenzyme Q10B
2187913CB1_PROBE1	1.27e-10	3.09e-13	12.4487032	20.24919	1.70382008	PRDM10	PR/SET domain 10
NM_007269.1_PROBE1	1.31e-10	3.26e-13	12.421421	20.197162	2.10114856	STXBP3	syntaxin binding protein 3
149741.6_PROBE1	1.46e-10	3.72e-13	12.35637	20.055722	2.11007347	CASD1	CAS1 domain containing 1
257117.1_PROBE1	1.48e-10	3.86e-13	12.336882	20.03149	2.27979399	ZDHHC20	zinc finger DHHC-type containing 20
NM_016626.1_PROBE1	1.51e-10	4.02e-13	12.3167943	19.992125	1.94657794	MEX3C	mex-3 RNA binding family member C
223704.6_PROBE1	1.53e-10	4.16e-13	12.2996272	19.957706	2.35010188	FAM214A	family with sequence similarity 214 member A
NM_017866.1_PROBE1	1.60e-10	4.44e-13	12.2679994	19.895118	1.43890425	TMEM70	transmembrane protein 70
AF089744_PROBE1	1.64e-10	4.63e-13	12.2468062	19.854818	1.25912686	XPR1	xenotropic and polytropic retrovirus receptor 1
AB023163_PROBE1	1.87e-10	5.41e-13	12.1699648	19.692689	2.98828645	ZDHHC17	zinc finger DHHC-type containing 17
100315.1_PROBE1	2.00e-10	5.89e-13	-12.1279413	19.61664	-1.52259087		
NM_018061.1_PROBE1	2.00e-10	6.00e-13	12.1190911	19.597925	2.28903873	PRPF38B	pre-mRNA processing factor 38B
D63477_PROBE1	2.01e-10	6.13e-13	12.1082272	19.574808	2.2030877	EFR3A	EFR3 homolog A
NM_002940.1_PROBE1	2.06e-10	6.60e-13	12.0723437	19.506261	1.7471698	ABCE1	ATP binding cassette subfamily E member 1
245014.7_PROBE1	2.06e-10	6.60e-13	12.072328	19.506139	2.00023829		
AK025305_PROBE1	2.06e-10	6.64e-13	12.0690294	19.494362	2.39977192	RASA2	RAS p21 protein activator 2
AL049265_PROBE1	2.10e-10	6.89e-13	12.0509141	19.46185	2.23130847	IL6ST	interleukin 6 signal transducer
220933.2_PROBE1	2.10e-10	7.02e-13	-12.041808	19.439557	-2.12619906	EIF5A	eukaryotic translation initiation factor 5A
AL136807_PROBE1	2.28e-10	7.73e-13	11.9943891	19.349062	1.94459861	SERP1	stress-associated endoplasmic reticulum protein 1
1025101.1_PROBE1	2.41e-10	8.32e-13	11.9583392	19.273635	2.80914853		
AF288395_PROBE1	2.42e-10	8.53e-13	-11.9465377	19.252796	-1.85573561	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
265288.5_PROBE1	2.42e-10	8.63e-13	11.9405923	19.241188	1.59874833	SLAIN2	SLAIN motif family member 2
AK001731_PROBE1	2.66e-10	9.61e-13	11.8881832	19.133433	2.10621414	TMEM263	transmembrane protein 263
NM_004508.1_PROBE1	2.68e-10	9.87e-13	11.8757023	19.109854	1.75123291	IDI1	isopentenyl-diphosphate delta isomerase 1
AL137753_PROBE1	2.72e-10	1.02e-12	11.861003	19.055347	2.56498606	KIAA1033	KIAA1033
