ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
216136_at	0.338	0.0000152	5.0821048	1.3947	2.91285354		
213592_at	0.389	0.0000923	-4.461213	1.2974	-1.83070127	APLNR	apelin receptor
206465_at	0.389	0.0001223	-4.3635265	1.1003	-1.04181437	ACSBG1	acyl-CoA synthetase bubblegum family member 1
221916_at	0.389	0.0001941	4.2021578	0.6855	1.85478746	NEFL	neurofilament, light polypeptide
215634_at	0.389	0.0000577	4.6235792	0.514	2.707026		
201957_at	0.389	0.0002104	-4.1738846	0.4744	-1.44359568	PPP1R12B	protein phosphatase 1 regulatory subunit 12B
214770_at	0.389	0.000083	4.4980528	0.2785	2.57019429	MSR1	macrophage scavenger receptor 1
205270_s_at	0.389	0.0001002	4.432871	0.2054	1.86592731	LCP2	lymphocyte cytosolic protein 2
204286_s_at	0.389	0.0001083	4.4056536	0.1592	2.71966157	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
215464_s_at	0.389	0.000226	-4.1487462	0.0354	-2.1279306	P2RX5-TAX1BP3///TAX1BP3///P2RX5	P2RX5-TAX1BP3 readthrough (NMD candidate)///Tax1 binding protein 3///purinergic receptor P2X 5
219327_s_at	0.389	0.0003852	-3.9604616	-0.1851	-1.40272862	GPRC5C	G protein-coupled receptor class C group 5 member C
210080_x_at	0.389	0.0001803	4.2280121	-0.2465	2.2019978	CELA3A	chymotrypsin like elastase family member 3A
221856_s_at	0.389	0.0003602	-3.9842579	-0.2509	-1.90222309	FAM63A	family with sequence similarity 63 member A
207170_s_at	0.389	0.0005043	-3.8644055	-0.2765	-1.41474999	LETMD1	LETM1 domain containing 1
202071_at	0.389	0.000597	-3.8039415	-0.2794	-1.09346978	SDC4	syndecan 4
1773_at	0.389	0.0002485	-4.1154018	-0.3311	-2.15976061	CHURC1-FNTB///FNTB	CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta
208789_at	0.389	0.0006349	-3.7818128	-0.3732	-1.3648451	PTRF	polymerase I and transcript release factor
213706_at	0.389	0.0005257	-3.8495075	-0.4124	-1.78140042	GPD1	glycerol-3-phosphate dehydrogenase 1
214234_s_at	0.389	0.0002439	4.1220487	-0.432	2.32707901	CYP3A5	cytochrome P450 family 3 subfamily A member 5
201234_at	0.389	0.0005962	-3.8044309	-0.4657	-2.23110194	ILK	integrin linked kinase
209183_s_at	0.389	0.0007289	-3.7320613	-0.476	-1.23417964	C10orf10	chromosome 10 open reading frame 10
214414_x_at	0.389	0.0007639	-3.7151301	-0.4912	-1.67280971	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
202201_at	0.389	0.0005479	-3.83475	-0.5128	-1.81667389	BLVRB	biliverdin reductase B
33850_at	0.389	0.0008693	-3.6682948	-0.6044	-1.20298534	MAP4	microtubule associated protein 4
209834_at	0.389	0.0007383	-3.7274112	-0.663	-1.79771562	CHST3	carbohydrate sulfotransferase 3
219782_s_at	0.389	0.0003741	3.9708156	-0.6673	2.51723522	ZNF771	zinc finger protein 771
220524_at	0.389	0.000368	3.9766669	-0.6736	2.40050024	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
